,cm_overall,epochs,network,pct_white,test_size,training_size,p_cm,P_cm,r_cm,R_cm,n_cm,N_cm,b_cm,B_cm,q_cm,Q_cm,k_cm,K_cm,white_cm,black_cm
1,"[[3167 3129]
 [1761 1943]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[414 147]
 [443 179]]","[[363 243]
 [308 312]]","[[296  85]
 [330 117]]","[[241 260]
 [257 254]]","[[217  64]
 [234  81]]","[[224 191]
 [189 192]]","[[263  70]
 [240  57]]","[[222 159]
 [186 180]]","[[281  78]
 [281  94]]","[[220 186]
 [266 217]]","[[222  84]
 [223  76]]","[[204 194]
 [172 184]]","[[1474 1233]
 [1378 1339]]","[[1693  528]
 [1751  604]]"
1,"[[3521 3473]
 [1407 1599]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[380 181]
 [406 216]]","[[492 114]
 [453 167]]","[[220 161]
 [232 215]]","[[389 112]
 [396 115]]","[[198  83]
 [196 119]]","[[311 104]
 [291  90]]","[[200 133]
 [186 111]]","[[315  66]
 [281  85]]","[[222 137]
 [220 155]]","[[326  80]
 [395  88]]","[[183 123]
 [176 123]]","[[285 113]
 [241 115]]","[[2118  589]
 [2057  660]]","[[1403  818]
 [1416  939]]"
1,"[[1841 1777]
 [3087 3295]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[ 77 484]
 [ 61 561]]","[[304 302]
 [280 340]]","[[ 95 286]
 [ 96 351]]","[[317 184]
 [327 184]]","[[ 27 254]
 [ 31 284]]","[[192 223]
 [171 210]]","[[ 41 292]
 [ 45 252]]","[[195 186]
 [163 203]]","[[ 61 298]
 [ 47 328]]","[[214 192]
 [282 201]]","[[ 88 218]
 [ 91 208]]","[[230 168]
 [183 173]]","[[1452 1255]
 [1406 1311]]","[[ 389 1832]
 [ 371 1984]]"
1,"[[3380 3137]
 [1548 1935]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[368 193]
 [370 252]]","[[519  87]
 [475 145]]","[[141 240]
 [143 304]]","[[363 138]
 [349 162]]","[[194  87]
 [205 110]]","[[362  53]
 [290  91]]","[[191 142]
 [157 140]]","[[324  57]
 [300  66]]","[[195 164]
 [164 211]]","[[319  87]
 [357 126]]","[[136 170]
 [111 188]]","[[268 130]
 [216 140]]","[[2155  552]
 [1987  730]]","[[1225  996]
 [1150 1205]]"
1,"[[2957 2231]
 [1971 2841]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[397 164]
 [253 369]]","[[335 271]
 [160 460]]","[[238 143]
 [252 195]]","[[265 236]
 [227 284]]","[[191  90]
 [192 123]]","[[230 185]
 [144 237]]","[[223 110]
 [178 119]]","[[213 168]
 [141 225]]","[[230 129]
 [172 203]]","[[216 190]
 [182 301]]","[[198 108]
 [182 117]]","[[221 177]
 [148 208]]","[[1480 1227]
 [1002 1715]]","[[1477  744]
 [1229 1126]]"
1,"[[2040 1967]
 [2888 3105]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[479  82]
 [486 136]]","[[ 41 565]
 [ 27 593]]","[[259 122]
 [286 161]]","[[ 84 417]
 [ 69 442]]","[[246  35]
 [266  49]]","[[ 19 396]
 [ 29 352]]","[[292  41]
 [241  56]]","[[ 29 352]
 [ 18 348]]","[[277  82]
 [267 108]]","[[ 26 380]
 [ 26 457]]","[[193 113]
 [180 119]]","[[ 95 303]
 [ 72 284]]","[[ 294 2413]
 [ 241 2476]]","[[1746  475]
 [1726  629]]"
1,"[[3939 2929]
 [ 989 2143]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[523  38]
 [475 147]]","[[436 170]
 [125 495]]","[[324  57]
 [355  92]]","[[360 141]
 [248 263]]","[[265  16]
 [283  32]]","[[294 121]
 [159 222]]","[[309  24]
 [267  30]]","[[275 106]
 [160 206]]","[[330  29]
 [305  70]]","[[302 104]
 [199 284]]","[[246  60]
 [213  86]]","[[275 123]
 [140 216]]","[[1942  765]
 [1031 1686]]","[[1997  224]
 [1898  457]]"
1,"[[3721 2059]
 [1207 3013]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[405 156]
 [110 512]]","[[508  98]
 [191 429]]","[[262 119]
 [194 253]]","[[361 140]
 [273 238]]","[[209  72]
 [133 182]]","[[355  60]
 [206 175]]","[[251  82]
 [144 153]]","[[323  58]
 [227 139]]","[[254 105]
 [119 256]]","[[325  81]
 [219 264]]","[[189 117]
 [105 194]]","[[279 119]
 [138 218]]","[[2151  556]
 [1254 1463]]","[[1570  651]
 [ 805 1550]]"
1,"[[1874  247]
 [3054 4825]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[178 383]
 [ 21 601]]","[[224 382]
 [ 26 594]]","[[147 234]
 [ 25 422]]","[[212 289]
 [ 32 479]]","[[106 175]
 [ 12 303]]","[[178 237]
 [ 22 359]]","[[122 211]
 [  9 288]]","[[159 222]
 [ 23 343]]","[[129 230]
 [ 11 364]]","[[163 243]
 [ 25 458]]","[[102 204]
 [ 14 285]]","[[154 244]
 [ 27 329]]","[[1090 1617]
 [ 155 2562]]","[[ 784 1437]
 [  92 2263]]"
1,"[[3889  997]
 [1039 4075]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[474  87]
 [ 98 524]]","[[468 138]
 [ 80 540]]","[[314  67]
 [135 312]]","[[358 143]
 [ 91 420]]","[[231  50]
 [102 213]]","[[331  84]
 [ 53 328]]","[[283  50]
 [100 197]]","[[295  86]
 [ 57 309]]","[[295  64]
 [ 97 278]]","[[314  92]
 [ 56 427]]","[[238  68]
 [ 74 225]]","[[288 110]
 [ 54 302]]","[[2054  653]
 [ 391 2326]]","[[1835  386]
 [ 606 1749]]"
1,"[[3967  545]
 [ 961 4527]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[452 109]
 [ 48 574]]","[[508  98]
 [ 64 556]]","[[292  89]
 [ 52 395]]","[[378 123]
 [ 67 444]]","[[234  47]
 [ 25 290]]","[[355  60]
 [ 34 347]]","[[272  61]
 [ 49 248]]","[[322  59]
 [ 60 306]]","[[281  78]
 [ 36 339]]","[[329  77]
 [ 54 429]]","[[237  69]
 [ 24 275]]","[[307  91]
 [ 32 324]]","[[2199  508]
 [ 311 2406]]","[[1768  453]
 [ 234 2121]]"
1,"[[3968  435]
 [ 960 4637]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[474  87]
 [ 51 571]]","[[486 120]
 [ 33 587]]","[[301  80]
 [ 55 392]]","[[379 122]
 [ 40 471]]","[[233  48]
 [ 29 286]]","[[332  83]
 [ 18 363]]","[[284  49]
 [ 59 238]]","[[307  74]
 [ 17 349]]","[[291  68]
 [ 52 323]]","[[329  77]
 [ 24 459]]","[[245  61]
 [ 40 259]]","[[307  91]
 [ 17 339]]","[[2140  567]
 [ 149 2568]]","[[1828  393]
 [ 286 2069]]"
1,"[[3467  582]
 [1461 4490]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[388 173]
 [ 37 585]]","[[445 161]
 [ 94 526]]","[[259 122]
 [ 55 392]]","[[337 164]
 [ 72 439]]","[[193  88]
 [ 26 289]]","[[314 101]
 [ 49 332]]","[[234  99]
 [ 34 263]]","[[278 103]
 [ 55 311]]","[[247 112]
 [ 28 347]]","[[290 116]
 [ 48 435]]","[[211  95]
 [ 39 260]]","[[271 127]
 [ 45 311]]","[[1935  772]
 [ 363 2354]]","[[1532  689]
 [ 219 2136]]"
1,"[[4232 1030]
 [ 696 4042]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 1024}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[492  69]
 [ 81 541]]","[[536  70]
 [103 517]]","[[324  57]
 [ 85 362]]","[[413  88]
 [132 379]]","[[243  38]
 [ 45 270]]","[[374  41]
 [ 93 288]]","[[276  57]
 [ 99 198]]","[[337  44]
 [103 263]]","[[307  52]
 [ 79 296]]","[[352  54]
 [104 379]]","[[250  56]
 [ 50 249]]","[[328  70]
 [ 56 300]]","[[2340  367]
 [ 591 2126]]","[[1892  329]
 [ 439 1916]]"
